"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt"
"63",1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,43
"64",1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,46
"65",1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,43
"66",1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,24
"67",1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,44
"68",1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,46
"69",1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,49
"70",1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,45
"71",1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,45
"72",1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,46
"73",1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,52
"74",1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,56
"75",1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,55
"76",1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,49
"77",2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,45
"78",2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,51
"79",2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,46
"80",2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,43
"81",2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,47
"82",2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,49
"83",2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,41
"84",2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,45
"85",2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,49
"86",2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,39
"87",2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,41
"88",2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,47
"89",2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,47
"90",2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,57
"91",2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,55
"92",2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,42
"93",2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,52
"94",2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,56
"95",2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,38
"96",2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,49
"97",2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,53
"98",2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,57
"99",2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,45
"100",2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,46
"101",2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,57
"102",2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,55
"103",2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,28
"104",2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,61
"105",2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,58
"106",2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,56
"107",2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,62
"108",2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,64
"109",2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,41
"110",2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,63
"111",2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,64
"112",2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,63
"113",2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,66
"114",2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,62
"115",2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,63
"116",2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,67
"117",2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,72
"118",2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,57
"119",2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,66
"120",2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,66
"121",2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,51
"122",2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,66
"123",2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,67
"124",2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,68
"125",2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,65
"126",2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,66
"127",2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,69
"128",2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,64
"129",2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,69
"130",2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,64
"131",2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,58
"132",2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,67
"133",2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,62
"134",2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,64
"135",2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,62
"136",2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,67
"137",2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,70
"138",2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,76
"139",2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,68
"140",2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,65
"141",2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,67
"142",2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,70
"143",2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,68
"144",2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,68
"145",2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,68
"146",2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,69
"147",2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,64
"148",2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,63
"149",2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,63
"150",2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,70
"151",2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,72
"152",2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,73
"153",2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,70
"154",2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,67
"155",2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,69
"156",2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,66
"157",2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,67
"158",2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,70
"159",2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,66
"160",2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,70
"161",2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,69
"162",2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,71
"163",2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,61
"164",2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,69
"165",2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,71
"166",2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,68
"167",2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,63
"168",3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,69
"169",3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,67
"170",3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,69
"171",3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,70
"172",3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,72
"173",3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,72
"174",3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,68
"175",3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,68
"176",3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,72
"177",3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,74
"178",3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,73
"179",3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,71
"180",3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,68
"181",3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,77
"182",3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,68
"183",3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,68
"184",3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,67
"185",3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,63
"186",3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,73
"187",3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,69
"188",3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,63
"189",3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,65
"190",3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,65
"191",3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,71
"192",3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,74
"193",3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,76
"194",3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,72
"195",3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,66
"196",3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,67
"197",3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,65
"198",3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,61
"199",3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,67
"200",3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,68
"201",3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,66
"202",3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,65
"203",3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,69
"204",3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,59
"205",3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,67
"206",3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,69
"207",3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,65
"208",3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,61
"209",3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,65
"210",3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,67
"211",3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,69
"212",3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,69
"213",3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,70
"214",3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,64
"215",3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,61
"216",3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,65
"217",3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,68
"218",3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,68
"219",3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,61
"220",3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,64
"221",3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,72
"222",3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,62
"223",3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,68
"224",3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,76
"225",3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,71
"226",3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,59
"227",3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,65
"228",3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,68
"229",3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,72
"230",3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,71
"231",3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,71
"232",3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,68
"233",3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,66
"234",3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,70
"235",3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,57
"236",3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,52
"237",3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,44
"238",3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,42
"239",3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,59
"240",3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,73
"241",3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,71
"242",3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,68
"243",3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,69
"244",3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,69
"245",3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,60
"246",3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,68
"247",3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,67
"248",3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,65
"249",3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,67
"250",3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,60
"251",3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,65
"252",3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,69
"253",4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,48
"254",4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,73
"255",4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,70
"256",4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,68
"257",4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,64
"258",4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,62
"259",4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,69
"260",4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,72
"261",4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,49
"262",4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,54
"263",4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,59
"264",4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,66
"265",4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,69
"266",4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,69
"267",4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,70
"268",4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,73
"269",4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,74
"270",4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,71
"271",4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,67
"272",4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,49
"273",4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,53
"274",4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,60
"275",4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,72
"276",4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,71
"277",4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,67
"278",4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,68
"279",4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,49
"280",4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,64
"281",4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,65
"282",4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,65
"283",4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,66
"284",4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,64
"285",4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,68
"286",4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,62
"287",4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,51
"288",4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,61
"289",4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,57
"290",4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,60
"291",4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,63
"292",4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,64
"293",4,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,63
"294",4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,63
"295",4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,62
"296",4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,60
"297",4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,63
"298",4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,64
"299",4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,64
"300",4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,54
"301",4,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,58
"302",4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,63
"303",4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,60
"304",4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,66
"305",4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,64
"306",4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,42
"307",4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,55
"308",4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,58
"309",4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,60
"310",4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,59
"311",4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,52
"312",4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,40
"313",4,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,50
"314",4,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,62
"315",4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,53
"316",4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,60
"317",4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,61
"318",4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,62
"319",4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,60
"320",4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,59
"321",4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,61
"322",4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,50
"323",4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,57
"324",4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,60
"325",4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,56
"326",4,0,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,52
"327",4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,57
"328",4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,59
"329",4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,61
"330",4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,60
"331",4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,59
"332",4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,52
"333",4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,49
"334",4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,58
"335",4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,61
"336",1,0,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,51
"337",1,0,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275,55
"338",1,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,47
"339",1,0,12,0,2,1,2,0.325,0.327633,0.7625,0.18845,34
"340",1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,47
"341",1,0,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412,49
"342",1,0,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,54
"343",1,0,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,49
"344",1,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,47
"345",1,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,44
"346",1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,47
"347",1,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847,48
"348",1,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,57
"349",1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,64
"350",1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,67
"351",1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,58
"352",1,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,48
"353",1,1,1,0,2,1,1,0.308696,0.318826,0.646522,0.187552,59
"354",1,1,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221,46
"355",1,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,64
"356",1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,56
"357",1,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,49
"358",1,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,48
